ID	Qstart	Qend	Sstart	Send
67	67	12058	17484	3682321	3687747
68	68	11979	17409	802996	808426
69	69	2917396	2922779	2934442	2939826
70	70	1217192	1222622	4400332	4405762
71	71	779843	785297	372249	377717
72	72	4384616	4389967	3682396	3687747
73	73	4384616	4389967	4033917	4039269
74	74	1217263	1222622	3682396	3687756
75	75	1217263	1222622	4033917	4039278
76	76	2562882	2568175	1986062	1991355
77	77	3768659	3773757	3341949	3347047
78	78	3993783	3998763	4576893	4581873
79	79	845629	850459	441092	445922
80	80	2960472	2965249	2891812	2896589
81	81	356278	360993	3565643	3570358
82	82	1941699	1946396	2195223	2199920
83	83	3003480	3008146	2850204	2854869
84	84	656319	660899	251332	255912
85	85	79310	83856	3967459	3972005
86	86	825304	829863	461697	466256
87	87	3980913	3985421	4590234	4594742
88	88	650489	654841	245514	249866
89	89	3071744	3076033	2510195	2514484
90	90	1914098	1918290	2223343	2227535
91	91	3967884	3972090	4603565	4607762
92	92	385574	389661	3537378	3541465
93	93	1028062	1032147	561600	565685
94	94	4421261	4425336	4155807	4159882
95	95	237087	241123	4044228	4048264
96	96	291439	295432	3630532	3634525
97	97	296443	300404	3625560	3629521
98	98	1846645	1850537	2291114	2295006
99	99	1857192	1861078	2280573	2284459
100	100	1074720	1079647	1267314	1272241
101	101	834860	838718	452842	456700
102	102	1663134	1668061	514062	518989
103	103	1827781	1831569	2308123	2311911
104	104	3099042	3102824	2484031	2487813
105	105	2986530	2990300	2868049	2871819
106	106	3990010	3993769	4581887	4585646
107	107	886486	890593	701940	706047
108	108	928490	932115	660416	664041
109	109	2971757	2975350	2881704	2885297
110	110	113324	116917	3935416	3939009
111	111	3973136	3976712	4598944	4602520
112	112	4174999	4178558	4402459	4406017
113	113	3087587	3091135	2494998	2498546
114	114	391235	394764	3532275	3535804
115	115	920706	924234	668298	671826
116	116	3963251	3966759	4608888	4612396
117	117	3763982	3767512	3337263	3340797
118	118	3648762	3652274	3682187	3685699
119	119	913628	917076	675453	678901
120	120	4148936	4152352	4428669	4432085
121	121	1821470	1824851	2314841	2318222
122	122	3648894	3652274	4033840	4037220
123	123	129602	132968	4150423	4153789
124	124	14106	17486	3221874	3225254
125	125	350051	353413	3573225	3576587
126	126	3032999	3036367	2821979	2825343
127	127	3018429	3021778	2836575	2839924
128	128	4218049	4221422	3682326	3685699
129	129	4218049	4221422	3221881	3225254
130	130	4218049	4221422	4033847	4037220
131	131	1837178	1840500	2299192	2302514
132	132	3052950	3056267	2530093	2533410
133	133	311740	315095	3611580	3614935
134	134	4175254	4178558	4033916	4037220
135	135	3648970	3652274	4402459	4405763
136	136	905961	909255	683277	686571
137	137	4175254	4178558	3682395	3685699
138	138	4175254	4178558	3221950	3225254
139	139	4384616	4387919	3221951	3225254
140	140	4218118	4221422	4402459	4405763
141	141	4175255	4178558	805123	808426
142	142	3648971	3652274	805123	808426
143	143	1903833	1907116	2234520	2237803
144	144	4218119	4221422	805123	808426
145	145	1219319	1222622	3221951	3225254
146	146	4218119	4221422	3892640	3895944
147	147	3082500	3085765	2500380	2503645
148	148	3648971	3652274	3892640	3895944
149	149	4175255	4178558	3892640	3895944
150	150	3956378	3959543	4616094	4619259
151	151	839837	843016	448535	451708
152	152	327351	330494	3596146	3599289
153	153	4169941	4173081	4407938	4411078
154	154	3062262	3065364	2520869	2523971
155	155	940577	943672	648859	651954
156	156	198762	201848	4083499	4086585
157	157	336564	339575	3587064	3590075
158	158	1898572	1901573	2240063	2243064
159	159	1938702	1941682	2199937	2202917
160	160	3952335	3955295	4620342	4623303
161	161	3026019	3028973	2829369	2832323
162	162	3065776	3068729	2517503	2520456
163	163	1831569	1834517	2305175	2308123
164	164	3104475	3107404	2479451	2482380
165	165	1034521	1037432	556315	559226
166	166	3008683	3011549	2846801	2849667
167	167	3028976	3031817	2826525	2829366
168	168	2976907	2979747	2877283	2880122
169	169	67147	69950	3981365	3984168
170	170	312043	316226	466501	470643
171	171	878479	881248	711285	714054
172	172	799785	802559	386647	389421
173	173	1054196	1056940	536799	539543
174	174	1102299	1104999	488697	491397
175	175	1883881	1886559	2255077	2257755
176	176	138899	141574	4141817	4144492
177	177	1952391	1955065	2186551	2189225
178	178	973561	976233	616285	618957
179	179	1059824	1062492	531247	533915
180	180	3013535	3016195	2842158	2844818
181	181	937944	940563	651968	654587
182	182	867898	870500	722033	724635
183	183	1091327	1093917	499779	502369
184	184	1888863	1891453	2250183	2252773
185	185	205534	208114	4077236	4079816
186	186	110552	113114	3939219	3941781
187	187	1818754	1821313	2318379	2320938
188	188	854181	856756	434795	437370
189	189	1726580	1729124	3409630	3412174
190	190	986050	988584	603926	606460
191	191	2946889	2949423	2907638	2910172
192	192	1099762	1102278	491418	493934
193	193	3046415	3048929	2809417	2811931
194	194	209668	212153	4073197	4075682
195	195	1094953	1097424	496272	498743
196	196	825304	829379	466604	470682
197	197	3039778	3042239	2816107	2818568
198	198	51066	53509	3997806	4000249
199	199	180572	183015	4100388	4102831
200	200	3109286	3111728	2475128	2477570
201	201	895453	897908	694624	697079
202	202	1879184	1881612	2260024	2262452
203	203	1808979	1811403	2326250	2328674
204	204	862070	864488	728099	730517
205	205	57942	60339	3990976	3993373
206	206	90955	93341	3957974	3960360
207	207	3021792	3024177	2834170	2836555
208	208	1930827	1933193	2208426	2210792
209	209	43467	45829	4005486	4007848
210	210	4137902	4140264	4440740	4443102
211	211	2923201	2925562	2931661	2934022
212	212	1902846	1906606	462489	466206
213	213	900285	902633	689896	692244
214	214	1032168	1034511	559236	561579
215	215	1928489	1930826	2210793	2213130
216	216	4146591	4148926	4432083	4434418
217	217	93344	95676	3955636	3957968
218	218	918353	920680	671852	674179
219	219	368739	371049	3556300	3558610
220	220	4162208	4164518	4416502	4418812
221	221	213270	215563	4069787	4072080
222	222	302705	304997	3621678	3623970
223	223	70544	72830	3978485	3980771
224	224	383158	385442	3541597	3543881
225	225	380823	383099	3543940	3546216
226	226	177945	180211	4103193	4105459
227	227	3037514	3039773	2818573	2820832
228	228	881250	883499	709034	711283
229	229	2953300	2955548	2901513	2903761
230	230	309501	311740	3614935	3617174
231	231	1963415	1965646	2175961	2178192
232	232	41229	43446	4007869	4010086
233	233	992634	994849	597661	599876
234	234	48839	51046	4000269	4002476
235	235	133255	135457	4147934	4150136
236	236	1933264	1935463	2206156	2208355
237	237	3016208	3018405	2839947	2842144
238	238	196559	198744	4086606	4088791
239	239	217825	220481	4064870	4067525
240	240	289250	291418	3634546	3636714
241	241	183090	185236	4098155	4100301
242	242	172386	174532	4108859	4111005
243	243	3987647	3989791	4585865	4588009
244	244	856745	858890	432660	434806
245	245	282694	284813	3641151	3643270
246	246	148630	150743	4132648	4134761
247	247	4144468	4146586	4434417	4436532
248	248	324937	327045	3599595	3601703
249	249	825354	828103	2235030	2237801
250	250	1122427	1125252	411062	413878
251	251	1726447	1728533	207854	209939
252	252	274371	276439	3649525	3651593
253	253	831743	833842	457718	459817
254	254	959185	961251	631274	633340
255	255	1865244	1867305	2274346	2276407
256	256	3118584	3120638	2970125	2972179
257	257	1124245	1127060	409244	412068
258	258	843037	845081	446470	448514
259	259	999330	1001366	591144	593180
260	260	3050893	3052929	2533431	2535467
261	261	1902887	1906606	466934	470632
262	262	924936	926969	665563	667596
263	263	4221722	4223772	4400169	4402219
264	264	3044384	3046414	2811932	2813962
265	265	3096265	3098294	2487850	2489879
266	266	820033	822056	473930	475953
267	267	63139	65161	3986154	3988176
268	268	4221722	4223765	3896184	3898228
269	269	3652574	3654610	3896184	3898220
270	270	3652574	3654608	4400185	4402219
271	271	4221738	4223756	3225606	3227624
272	272	11832	13850	3225606	3227624
273	273	4388175	4390194	3225606	3227626
274	274	1806998	1808978	2328673	2330653
275	275	1841764	1843740	2295952	2297928
276	276	2968858	2970829	2886225	2888196
277	277	3574420	3576627	1881967	1884178
278	278	1068207	1070335	1271680	1273808
279	279	2658021	2659984	3719156	3721119
280	280	39255	41229	4010086	4012059
281	281	2692671	2694635	1881964	1883928
282	282	4211960	4213922	432662	434624
283	283	2658022	2659984	432662	434624
284	284	3048935	3050897	1224508	1226470
285	285	1278058	1280020	1881963	1883925
286	286	2294859	2296821	4254647	4256609
287	287	693712	695673	684404	686365
288	288	2692671	2694638	818081	820048
289	289	2658023	2659987	818084	820048
290	290	4520033	4522003	1881957	1883927
291	291	312055	314185	2235030	2237160
292	292	1620412	1622373	2535468	2537429
293	293	3048932	3050896	3410218	3412182
294	294	374867	376825	3550524	3552482
295	295	856927	858888	3719157	3721119
296	296	1502729	1504702	3744792	3746765
297	297	2450187	2452157	4254639	4256609
298	298	1992553	1994516	432660	434623
299	299	3048933	3050893	818081	820042
300	300	1992560	1994517	818083	820040
301	301	1278060	1280020	818084	820044
302	302	4211961	4213918	818084	820041
303	303	2826147	2828135	1224513	1226500
304	304	3275087	3277044	1224517	1226474
305	305	3662687	3664653	1881964	1883930
306	306	1620412	1622399	2409986	2411974
307	307	3048935	3050892	2535468	2537425
308	308	1992554	1994517	2535469	2537432
309	309	1278059	1280022	2886230	2888193
310	310	1232280	1234237	3719158	3721115
311	311	1502737	1504699	4010088	4012050
312	312	1974682	1976638	207983	209939
313	313	693709	695668	207986	209945
314	314	1844023	1845979	432664	434620
315	315	3950379	3952335	432665	434621
316	316	1278060	1280016	432667	434623
317	317	1232280	1234236	432667	434623
318	318	856926	858891	684399	686364
319	319	1992552	1994514	684399	686361
320	320	1145922	1147888	684400	686365
321	321	3275074	3277040	818076	820040
322	322	856928	858884	818084	820040
323	323	3998761	4000717	818087	820043
324	324	190048	192004	818087	820043
325	325	1726577	1728538	1410506	1412467
326	326	4520044	4522000	1795644	1797600
327	327	2294860	2296816	1881966	1883922
328	328	1278061	1280017	2410017	2411973
329	329	2968864	2970823	2535471	2537431
330	330	3662685	3664649	2991963	2993928
331	331	3625255	3627211	3410218	3412174
332	332	1502739	1504701	3719154	3721116
333	333	571179	573141	3719155	3721117
334	334	1145924	1147887	3719157	3721119
335	335	1278060	1280016	3719158	3721114
336	336	1992560	1994516	3719158	3721114
337	337	2692677	2694633	3744798	3746754
338	338	571184	573140	3744799	3746755
339	339	3140428	3142384	3744799	3746755
340	340	53529	55485	3995830	3997786
341	341	2364235	2366191	4254650	4256606
342	342	1620412	1622370	207982	209940
343	343	906172	908127	207986	209941
344	344	4134760	4136715	207986	209941
345	345	906168	908132	432660	434625
346	346	2826179	2828134	432667	434622
347	347	245724	247679	432667	434622
348	348	4134760	4136715	684405	686360
349	349	612967	614922	684405	686360
350	350	3275086	3277041	684406	686361
351	351	245725	247680	684406	686361
352	352	2450195	2452159	818084	820049
353	353	245724	247679	818085	820040
354	354	2826179	2828134	818085	820040
355	355	3836904	3838865	818087	820049
356	356	1726580	1728541	818087	820049
357	357	3140425	3142383	818087	820046
358	358	3625256	3627211	818087	820042
359	359	612963	614921	1224513	1226471
360	360	2135459	2137414	1224515	1226470
361	361	3574421	3576376	1224517	1226472
362	362	2135456	2137413	1410508	1412465
363	363	1974679	1976636	1569409	1571366
364	364	3625252	3627213	1795641	1797602
365	365	3836909	3838870	1795644	1797605
366	366	2450198	2452153	1795645	1797600
367	367	1278063	1280018	1795645	1797600
368	368	1013511	1015466	1795647	1797602
369	369	2968856	2970819	1881957	1883922
370	370	1502741	1504696	1881966	1883921
371	371	4236788	4238743	1881966	1883921
372	372	2364236	2366191	1881968	1883923
373	373	3662682	3664648	2410008	2411971
374	374	4211962	4213923	2410012	2411973
375	375	4236786	4238747	2410014	2411975
376	376	1992560	1994515	2410018	2411973
377	377	2658024	2659979	2410018	2411973
378	378	1232281	1234236	2410018	2411973
379	379	856929	858884	2410018	2411973
380	380	245724	247679	2410018	2411973
381	381	4134759	4136714	2535471	2537426
382	382	3574421	3576376	2535472	2537427
383	383	3275087	3277046	2886231	2888189
384	384	1992555	1994513	2886231	2888189
385	385	2450194	2452155	2886232	2888193
386	386	4134755	4136713	2886236	2888194
387	387	2692678	2694636	2886236	2888194
388	388	39268	41223	2886236	2888191
389	389	571183	573143	2991969	2993929
390	390	1232283	1234251	3410208	3412174
391	391	1974677	1976635	3410216	3412174
392	392	2364235	2366196	3410218	3412179
393	393	190049	192004	3410219	3412174
394	394	2692676	2694631	3410219	3412174
395	395	3998762	4000717	3410219	3412174
396	396	39269	41224	3410220	3412175
397	397	4134758	4136713	3410221	3412176
398	398	245719	247679	3678284	3680245
399	399	245724	247679	3719159	3721114
400	400	2826179	2828134	3719159	3721114
401	401	39270	41225	3719161	3721116
402	402	3140428	3142383	3719161	3721116
403	403	2135457	2137412	3719161	3721116
404	404	1974680	1976635	3719161	3721116
405	405	4236790	4238745	3719161	3721116
406	406	2826175	2828136	3744796	3746757
407	407	2294860	2296815	3744798	3746753
408	408	2450196	2452151	3744798	3746753
409	409	4520042	4521997	3744798	3746753
410	410	401047	403002	3744799	3746754
411	411	3998763	4000718	3744799	3746754
412	412	190050	192005	3744799	3746754
413	413	3048930	3050888	3744800	3746759
414	414	39270	41225	3744800	3746755
415	415	2135457	2137412	3744800	3746755
416	416	2658026	2659981	3744800	3746755
417	417	1974680	1976635	3744800	3746755
418	418	4211964	4213919	3744800	3746755
419	419	4178858	4180828	4037461	4039431
420	420	1726576	1728537	4254646	4256607
421	421	2692678	2694633	4254648	4256603
422	422	1502741	1504696	4254648	4256603
423	423	4236788	4238743	4254648	4256603
424	424	3662694	3664649	4254649	4256604
425	425	1278063	1280018	4254650	4256605
426	426	2364238	2366195	207982	209939
427	427	4520040	4521997	207982	209939
428	428	1013512	1015466	207985	209939
429	429	3625258	3627212	207985	209939
430	430	2135459	2137413	207985	209939
431	431	245726	247680	207986	209940
432	432	1992559	1994513	207986	209940
433	433	3275087	3277041	207986	209940
434	434	3574421	3576375	207986	209940
435	435	693712	695669	432664	434621
436	436	1013513	1015467	432666	434620
437	437	3275086	3277040	432667	434621
438	438	1667500	1669628	523404	525532
439	439	1844023	1845980	684402	686360
440	440	2658012	2659982	684404	686373
441	441	4211963	4213920	684404	686361
442	442	3574421	3576375	684406	686360
443	443	1620416	1622370	684406	686360
444	444	2135459	2137416	684407	686364
445	445	2826179	2828133	684407	686361
446	446	1278062	1280016	684407	686361
447	447	1232282	1234236	684407	686361
448	448	3950381	3952335	684407	686361
449	449	3950381	3952335	818086	820040
450	450	906171	908125	818086	820040
451	451	1145929	1147883	818086	820040
452	452	693715	695669	818086	820040
453	453	3662688	3664648	818087	820048
454	454	39270	41224	818087	820041
455	455	401048	403002	818087	820041
456	456	571185	573139	818087	820041
457	457	2135458	2137412	818087	820041
458	458	1974681	1976635	818087	820041
459	459	1502740	1504694	818087	820041
460	460	4236790	4238744	818087	820041
461	461	1013503	1015466	1224507	1226470
462	462	1726576	1728533	1224513	1226470
463	463	2364238	2366195	1224513	1226470
464	464	3625258	3627212	1224516	1226470
465	465	1974682	1976636	1224516	1226470
466	466	190042	192004	1224517	1226481
467	467	1278063	1280027	1224517	1226479
468	468	245726	247680	1224517	1226471
469	469	906172	908126	1224517	1226471
470	470	1992559	1994513	1224517	1226471
471	471	693714	695668	1224517	1226471
472	472	4134760	4136714	1224517	1226471
473	473	3140427	3142383	1410508	1412464
474	474	612964	614920	1410511	1412467
475	475	401048	403007	1569406	1571365
476	476	3140427	3142383	1569409	1571365
477	477	1726579	1728536	1795644	1797601
478	478	1620415	1622372	1795644	1797601
479	479	2968865	2970819	1795646	1797600
480	480	2294862	2296816	1795646	1797600
481	481	2826178	2828132	1795646	1797600
482	482	3662694	3664648	1795646	1797600
483	483	1974682	1976636	1795647	1797601
484	484	2135459	2137413	1795647	1797601
485	485	612966	614920	1795647	1797601
486	486	190051	192008	1881964	1883921
487	487	1232280	1234240	1881965	1883925
488	488	401047	403001	1881967	1883921
489	489	571184	573138	1881967	1883921
490	490	3998764	4000718	1881967	1883921
491	491	3140430	3142384	1881967	1883921
492	492	2826178	2828132	1881968	1883922
493	493	4211962	4213918	2210792	2212748
494	494	2658024	2659980	2210792	2212748
495	495	1232281	1234237	2210792	2212748
496	496	4520044	4521998	2410017	2411971
497	497	2968865	2970819	2410017	2411971
498	498	2450198	2452152	2410017	2411971
499	499	2294862	2296816	2410017	2411971
500	500	2364237	2366191	2410017	2411971
501	501	693715	695669	2410018	2411972
502	502	1145929	1147883	2410018	2411972
503	503	3275086	3277040	2410018	2411972
504	504	906171	908125	2410018	2411972
505	505	3950381	3952335	2410018	2411972
506	506	3836912	3838869	2535468	2537425
507	507	1232278	1234236	2535468	2537425
508	508	39269	41223	2535471	2537425
509	509	1844022	1845976	2535471	2537425
510	510	245726	247680	2535472	2537426
511	511	612967	614921	2535472	2537426
512	512	906172	908126	2535472	2537426
513	513	693714	695668	2535472	2537426
514	514	1974673	1976639	2886225	2888192
515	515	2135455	2137412	2886231	2888189
516	516	4520044	4521998	2886235	2888189
517	517	2294862	2296816	2886235	2888189
518	518	2364237	2366191	2886235	2888189
519	519	2826178	2828132	2886235	2888189
520	520	3662694	3664648	2886235	2888189
521	521	1844022	1845976	2886236	2888190
522	522	3048935	3050889	2886236	2888190
523	523	3836912	3838866	2886236	2888190
524	524	1974679	1976635	2991971	2993927
525	525	2135456	2137412	2991971	2993927
526	526	4236789	4238745	2991972	2993928
527	527	1502739	1504695	2991972	2993928
528	528	190050	192006	2991973	2993929
529	529	3998763	4000719	2991973	2993929
530	530	4520044	4522001	3410217	3412174
531	531	4236790	4238744	3410220	3412174
532	532	4211964	4213918	3410220	3412174
533	533	1502740	1504694	3410220	3412174
534	534	2658026	2659980	3410220	3412174
535	535	2135458	2137412	3410220	3412174
536	536	3140429	3142383	3410220	3412174
537	537	571185	573139	3410220	3412174
538	538	401048	403002	3410220	3412174
539	539	2968864	2970818	3410221	3412175
540	540	1844022	1845976	3410221	3412175
541	541	1974673	1976635	3678274	3680237
542	542	906168	908125	3719157	3721114
543	543	693715	695672	3719157	3721114
544	544	2692677	2694634	3719158	3721115
545	545	3950378	3952335	3719160	3721118
546	546	3275086	3277040	3719160	3721114
547	547	401048	403002	3719161	3721115
548	548	3998763	4000717	3719161	3721115
549	549	3836911	3838865	3719161	3721115
550	550	3625257	3627211	3719161	3721115
551	551	3048934	3050888	3719161	3721115
552	552	1726580	1728534	3719161	3721115
553	553	190050	192004	3719161	3721115
554	554	3662695	3664649	3744799	3746753
555	555	3574420	3576374	3744799	3746753
556	556	3625254	3627211	3744800	3746758
557	557	3836911	3838865	3744800	3746754
558	558	1232283	1234237	3744800	3746754
559	559	1726580	1728534	3744800	3746754
560	560	3998757	4000717	4010086	4012045
561	561	612963	614920	4254646	4256603
562	562	401047	403001	4254649	4256603
563	563	571184	573138	4254649	4256603
564	564	3998764	4000718	4254649	4256603
565	565	3140430	3142384	4254649	4256603
566	566	3574420	3576374	4254649	4256603
567	567	190051	192005	4254649	4256603
568	568	1232283	1234244	4254650	4256610
569	569	3836908	3838865	4254650	4256607
570	570	2826178	2828132	4254650	4256604
571	571	2968865	2970819	4254650	4256604
572	572	2294859	2296815	207983	209939
573	573	39270	41223	207986	209939
574	574	401048	403001	207986	209939
575	575	571185	573138	207986	209939
576	576	3998764	4000717	207986	209939
577	577	3950381	3952334	207986	209939
578	578	3836912	3838865	207986	209939
579	579	856931	858884	207986	209939
580	580	3662695	3664648	207986	209939
581	581	1232283	1234236	207986	209939
582	582	1278063	1280016	207986	209939
583	583	3140430	3142383	207986	209939
584	584	3048935	3050888	207986	209939
585	585	2826179	2828132	207986	209939
586	586	1844023	1845976	207986	209939
587	587	2692678	2694631	207986	209939
588	588	2450198	2452151	207986	209939
589	589	2658026	2659979	207986	209939
590	590	2968865	2970818	207986	209939
591	591	1502741	1504694	207986	209939
592	592	1145929	1147882	207986	209939
593	593	4211964	4213917	207986	209939
594	594	4236790	4238743	207986	209939
595	595	190051	192004	207986	209939
596	596	571185	573141	432664	434620
597	597	4520044	4521997	432667	434620
598	598	190051	192004	432667	434620
599	599	4236790	4238743	432667	434620
600	600	4134760	4136713	432667	434620
601	601	3574421	3576374	432667	434620
602	602	1502741	1504694	432667	434620
603	603	2968865	2970818	432667	434620
604	604	1974682	1976635	432667	434620
605	605	2135459	2137412	432667	434620
606	606	2450198	2452151	432667	434620
607	607	2294862	2296815	432667	434620
608	608	2364238	2366191	432667	434620
609	609	2692678	2694631	432667	434620
610	610	1726580	1728533	432667	434620
611	611	1620416	1622369	432667	434620
612	612	3048935	3050888	432667	434620
613	613	3140430	3142383	432667	434620
614	614	3625258	3627211	432667	434620
615	615	3662695	3664648	432667	434620
616	616	3836912	3838865	432667	434620
617	617	3998764	4000717	432667	434620
618	618	612967	614920	432667	434620
619	619	401048	403001	432667	434620
620	620	39270	41223	432667	434620
621	621	571185	573141	684404	686360
622	622	1928872	1930828	684405	686361
623	623	4520044	4521997	684407	686360
624	624	190051	192004	684407	686360
625	625	4236790	4238743	684407	686360
626	626	1502741	1504694	684407	686360
627	627	2968865	2970818	684407	686360
628	628	1974682	1976635	684407	686360
629	629	2450198	2452151	684407	686360
630	630	2294862	2296815	684407	686360
631	631	2364238	2366191	684407	686360
632	632	2692678	2694631	684407	686360
633	633	1726580	1728533	684407	686360
634	634	3048935	3050888	684407	686360
635	635	3140430	3142383	684407	686360
636	636	3625258	3627211	684407	686360
637	637	1013513	1015466	684407	686360
638	638	3662695	3664648	684407	686360
639	639	3836912	3838865	684407	686360
640	640	3998764	4000717	684407	686360
641	641	401048	403001	684407	686360
642	642	39270	41223	684407	686360
643	643	2968862	2970818	818084	820040
644	644	612967	614920	818087	820040
645	645	1013513	1015466	818087	820040
646	646	1620416	1622369	818087	820040
647	647	1844023	1845976	818087	820040
648	648	2364238	2366191	818087	820040
649	649	2294862	2296815	818087	820040
650	650	3574421	3576374	818087	820040
651	651	4134760	4136713	818087	820040
652	652	4520044	4521997	818087	820040
653	653	1145929	1147885	1224514	1226470
654	654	2968865	2970821	1224517	1226474
655	655	39270	41223	1224517	1226470
656	656	401048	403001	1224517	1226470
657	657	571185	573138	1224517	1226470
658	658	3998764	4000717	1224517	1226470
659	659	3950381	3952334	1224517	1226470
660	660	3836912	3838865	1224517	1226470
661	661	856931	858884	1224517	1226470
662	662	3662695	3664648	1224517	1226470
663	663	1232283	1234236	1224517	1226470
664	664	3140430	3142383	1224517	1226470
665	665	1844023	1845976	1224517	1226470
666	666	2692678	2694631	1224517	1226470
667	667	2294862	2296815	1224517	1226470
668	668	2450198	2452151	1224517	1226470
669	669	2658026	2659979	1224517	1226470
670	670	1502741	1504694	1224517	1226470
671	671	4211964	4213917	1224517	1226470
672	672	4236790	4238743	1224517	1226470
673	673	4520044	4521997	1224517	1226470
674	674	3836907	3838865	1410506	1412464
675	675	4236790	4238745	1410509	1412464
676	676	4211964	4213919	1410509	1412464
677	677	1502739	1504694	1410509	1412464
678	678	2658026	2659981	1410509	1412464
679	679	571185	573140	1410509	1412464
680	680	39270	41225	1410509	1412464
681	681	3625257	3627212	1410510	1412465
682	682	571181	573140	1569410	1571368
683	683	4236790	4238745	1569410	1571365
684	684	4211964	4213919	1569410	1571365
685	685	1502739	1504694	1569410	1571365
686	686	2658026	2659981	1569410	1571365
687	687	39270	41225	1569410	1571365
688	688	1726579	1728534	1569411	1571366
689	689	3625257	3627212	1569411	1571366
690	690	1620414	1622369	1569412	1571367
691	691	3482493	3484454	1795643	1797606
692	692	3275087	3277043	1795644	1797600
693	693	3048932	3050888	1795644	1797600
694	694	190051	192004	1795647	1797600
695	695	4236790	4238743	1795647	1797600
696	696	4211964	4213917	1795647	1797600
697	697	4134760	4136713	1795647	1797600
698	698	693715	695668	1795647	1797600
699	699	3574421	3576374	1795647	1797600
700	700	1145929	1147882	1795647	1797600
701	701	1502741	1504694	1795647	1797600
702	702	1992560	1994513	1795647	1797600
703	703	2658026	2659979	1795647	1797600
704	704	2692678	2694631	1795647	1797600
705	705	1844023	1845976	1795647	1797600
706	706	3140430	3142383	1795647	1797600
707	707	1232283	1234236	1795647	1797600
708	708	906172	908125	1795647	1797600
709	709	856931	858884	1795647	1797600
710	710	3950381	3952334	1795647	1797600
711	711	3998764	4000717	1795647	1797600
712	712	571185	573138	1795647	1797600
713	713	401048	403001	1795647	1797600
714	714	245726	247679	1795647	1797600
715	715	39270	41223	1795647	1797600
716	716	1992560	1994526	1881956	1883921
717	717	856928	858884	1881965	1883921
718	718	2658023	2659979	1881965	1883921
719	719	4211961	4213917	1881965	1883921
720	720	39270	41223	1881968	1883921
721	721	245726	247679	1881968	1883921
722	722	612967	614920	1881968	1883921
723	723	3950381	3952334	1881968	1883921
724	724	3836912	3838865	1881968	1883921
725	725	906172	908125	1881968	1883921
726	726	1013513	1015466	1881968	1883921
727	727	3625258	3627211	1881968	1883921
728	728	3048935	3050888	1881968	1883921
729	729	1620416	1622369	1881968	1883921
730	730	1726580	1728533	1881968	1883921
731	731	1844023	1845976	1881968	1883921
732	732	2135459	2137412	1881968	1883921
733	733	1974682	1976635	1881968	1883921
734	734	3275087	3277040	1881968	1883921
735	735	1145929	1147882	1881968	1883921
736	736	693715	695668	1881968	1883921
737	737	4134760	4136713	1881968	1883921
738	738	1974681	1976639	2210792	2212750
739	739	1992560	1994515	2210793	2212748
740	740	2826179	2828134	2210793	2212748
